city,companyFullName,companyLabelList,companySize,education,financeStage,firstType,industryField,jobNature,latitude,longitude,positionAdvantage,positionId,positionLables,positionName,salary_high,salary_low,workYear,Salary
上海,上海先烁信息科技有限公司,"['节日礼物', '技能培训', '带薪年假', '岗位晋升']",150-500人,本科,B轮,产品/需求/项目类,移动互联网,全职,31.21709,121.53219,"发展前景,扁平管理,福利优厚,晋升机会",3992548,"['物流', '大数据', 'BI', '专员', 'WMS']",数据分析师,10,17,1-3年,13500
北京,央广新媒体文化传媒（北京）有限公司,"['技能培训', '年终奖金', '定期体检', '带薪年假']",150-500人,本科,不需要融资,开发/测试/运维类,"移动互联网,文化娱乐",全职,39.99426,115.99339,"福利健全,团队年轻,年终奖金",3419357,"['初级', 'seo', '搜索']",数据分析,8,12,1-3年,10000
北京,北京启萌教育科技有限公司,"['绩效奖金', '弹性工作', '岗位晋升', '股票期权']",150-500人,本科,A轮,开发/测试/运维类,"移动互联网,教育",全职,39.989577,116.482647,氛围好,3988561,"['初级', '大数据', 'SPSS', '数据管理']",数据分析,6,10,1-3年,8000
广州,广东万城万充电动车运营股份有限公司,"['周末双休', '员工餐厅', '五险一金', '不打卡']",150-500人,大专,不需要融资,产品/需求/项目类,其他,全职,23.078157,113.262569,"双休,五险一金,员工饭堂,年终奖",4058875,"['市场', '策划', '会务']",数据分析师,6,10,1-3年,8000
北京,京东金融,"['供应链金融', '消费金融', '众筹业务', '支付业务']",2000人以上,本科,上市公司,运营/编辑/客服,金融,全职,39.78603815,116.5643833,福利待遇佳，发展前景广阔,3048752,"['运营', '数据挖掘', 'SPSS', 'sas']",数据分析师,8,15,1-3年,11500
上海,上海钧正网络科技有限公司,"['绩效奖金', '年底双薪', '股票期权', '交通补助']",500-2000人,本科,D轮及以上,产品/需求/项目类,"移动互联网,硬件",全职,31.12276,121.363974,"年底双薪,D+轮融资",4004712,['业务运营'],资深数据分析经理,25,35,5-10年,30000
上海,上海拿米金融信息服务有限公司,"['年底双薪', '股票期权', '带薪年假', '通讯津贴']",150-500人,大专,不需要融资,产品/需求/项目类,"移动互联网,金融",全职,31.171432,121.410559,13薪,3360450,"['金融', '旅游']",数据分析师,10,15,1-3年,12500
北京,北京启萌教育科技有限公司,"['绩效奖金', '弹性工作', '岗位晋升', '股票期权']",150-500人,本科,A轮,产品/需求/项目类,"移动互联网,教育",全职,39.989577,116.482647,氛围好,3877233,"['资深', '大数据', '数据挖掘']",数据分析经理,20,40,3-5年,30000
上海,通联数据股份公司,"['五险一金', '通讯津贴', '带薪年假', '节日礼物']",150-500人,本科,不需要融资,金融,金融,全职,31.2375703,121.4977201,薪资福利好 大数据,2274995,['行业研究'],行业数据分析师,10,20,1-3年,15000
上海,两鲜商贸（上海）有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",150-500人,本科,A轮,开发/测试/运维类,电子商务,全职,31.169947,121.566916,"氛围轻松,大牛带教",3111840,"['数据挖掘', 'SPSS']",助理数据分析师,5,7,不限,6000
深圳,深圳世联行地产顾问股份有限公司,"['五险一金', '通讯津贴', '带薪年假', '年底双薪']",2000人以上,本科,上市公司,运营/编辑/客服,企业服务,全职,22.544938,114.127163,公司平台大，发展前景好,4034151,"['金融', 'SPSS', 'sas']",数据分析岗,5,8,不限,6500
深圳,深圳市拓翼无境供应链服务有限公司,"['年底双薪', '专项奖金', '年终分红', '绩效奖金']",150-500人,大专,未融资,产品/需求/项目类,"电子商务,企业服务",全职,22.585743,113.950122,"免费零食,带薪年假,定期体检",4089153,"['信息安全', '大数据', '数据挖掘']",数据分析专员(亚马逊报表方向),5,8,不限,6500
上海,晋松（上海）网络信息技术有限公司,"['相互成就', '敢想敢做', '消费场景', '趋势改变习惯']",50-150人,本科,A轮,开发/测试/运维类,"移动互联网,金融",全职,31.307861,121.513693,"消费金融,年终多薪,行业前景大",4087301,"['hadoop', '数据挖掘', '建模', 'SPSS']",资深数据分析师,15,30,3-5年,22500
长沙,中移在线服务有限公司,[],2000人以上,本科,不需要融资,开发/测试/运维类,移动互联网,全职,116.331398,39.897445,"大数据平台,千万级用户,技术驱动,福利待",4100091,"['Java', 'PHP', 'C/C++']",数据分析(001838),6,8,1-3年,7000
北京,小立教育科技（北京）有限公司,"['股权期权', '晋升空间', '节日礼物', '免费健身房']",15-50人,本科,天使轮,产品/需求/项目类,教育,全职,0,0,"交通方便,免费健身,发展空间大,团队氛围好",4114705,"['大数据', '数据挖掘', 'SPSS', 'sas']",数据分析师,15,25,1-3年,20000
上海,客锐市场信息咨询（上海）有限公司,[],15-50人,本科,不需要融资,产品/需求/项目类,数据服务,全职,31.218711,121.453086,"高大上环境,外资咨询,节日福利",4064065,"['专员', '运营', '咨询', '品牌']",数据分析师（数据挖掘）,6,7,不限,6500
上海,上海中彦信息科技有限公司,"['五险一金', '股票期权', '专项奖金', '带薪年假']",500-2000人,本科,C轮,技术,电子商务,全职,35.61082316,121.4423952,吃饭停车回家 旅游股票医疗 返利为你准备好,2445676,['大数据'],资深数据分析师,15,25,3-5年,20000
北京,北京爱奇艺科技有限公司,"['绩效奖金', '五险一金', '交通补助', '带薪年假']",2000人以上,本科,D轮及以上,开发/测试/运维类,"广告营销,文化娱乐",全职,39.983752,116.313228,成熟型平台 快速发展型团队,3183005,"['视频', '数据挖掘']",高级数据分析师,16,25,3-5年,20500
重庆,重庆维普资讯有限公司,"['年底双薪', '绩效奖金', '定期体检', '带薪年假']",150-500人,本科,不需要融资,产品/需求/项目类,"移动互联网,电子商务",全职,29.609499,106.503253,云处理平台,3749507,"['大数据', 'Java']",高级数据分析工程师,10,12,3-5年,11000
北京,京东金融,"['供应链金融', '消费金融', '众筹业务', '支付业务']",2000人以上,本科,上市公司,开发/测试/运维类,金融,全职,39.78603815,116.5643833,带薪休假、晋升空间大,3205104,"['大数据', '数据挖掘']",数据分析师,10,20,3-5年,15000
上海,上海钧正网络科技有限公司,"['绩效奖金', '年底双薪', '股票期权', '交通补助']",500-2000人,本科,D轮及以上,开发/测试/运维类,"移动互联网,硬件",全职,31.12276,121.363974,年底双薪,3640726,"['大数据', '统计', 'SPSS', 'sas']",数据分析师,15,30,3-5年,22500
上海,上海拿米金融信息服务有限公司,"['年底双薪', '股票期权', '带薪年假', '通讯津贴']",150-500人,本科,不需要融资,产品/需求/项目类,"移动互联网,金融",全职,31.171432,121.410559,环境好,4090130,"['金融', '建模']",数据分析-风控部,10,20,1-3年,15000
深圳,深圳世联行地产顾问股份有限公司,"['五险一金', '通讯津贴', '带薪年假', '年底双薪']",2000人以上,本科,上市公司,其他,企业服务,全职,22.544938,114.127163,上市公司大平台，工作氛围好，发展前景好,3767710,"['房产服务', '房地产', '策略']",地产数据分析专员,7,14,3-5年,10500
上海,晋松（上海）网络信息技术有限公司,"['相互成就', '敢想敢做', '消费场景', '趋势改变习惯']",50-150人,本科,A轮,开发/测试/运维类,"移动互联网,金融",全职,31.307861,121.513693,发展空间大,4120890,"['高级', 'hadoop', '数据挖掘', '大数据']",数据分析,15,30,3-5年,22500
郑州,中移在线服务有限公司,[],2000人以上,本科,不需要融资,开发/测试/运维类,移动互联网,全职,116.331398,39.897445,"领导好,扁平化,福利多,空间大",3975218,"['教育', '数据挖掘', 'SPSS']",数据分析（互联网运营中心）,12,24,3-5年,18000
北京,北京爱奇艺科技有限公司,"['绩效奖金', '五险一金', '交通补助', '带薪年假']",2000人以上,本科,D轮及以上,开发/测试/运维类,"广告营销,文化娱乐",全职,39.983752,116.313228,成熟型平台 成长型团队,3188913,[],资深数据分析师,20,35,3-5年,27500
北京,奇虎360科技有限公司,[],2000人以上,本科,上市公司,产品/需求/项目类,"移动互联网,游戏",全职,39.98313206,116.491128,核心业务，创新团队,4102716,"['资深', '高级', '专员', '业务运营', '大数据']",数据分析师,20,30,3-5年,25000
上海,上海数禾信息科技有限公司,"['股票期权', '通讯津贴', '交通补助', '午餐补助']",150-500人,硕士,不需要融资,金融类,"移动互联网,金融",全职,31.205215,121.602387,"移动金融,未来金矿,精英团队,助力成长",3490032,"['金融', '风控', '证券']",风险数据分析岗,10,20,1-3年,15000
北京,中体彩科技发展有限公司,"['五险一金', '通讯津贴', '带薪年假', '免费班车']",150-500人,本科,不需要融资,开发/测试/运维类,"移动互联网,电子商务",全职,39.873956,116.460229,公益行业，弹性工作，活动丰富，临近地铁,4029786,"['大数据', '数据挖掘']",数据分析产品经理,20,30,3-5年,25000
