city,companyFullName,companyLabelList,companySize,education,financeStage,firstType,industryField,jobNature,latitude,longitude,positionAdvantage,positionId,positionLables,positionName,salary,workYear
北京,北京默契破冰科技有限公司,"['去他的考勤', '高手云集', '股票期权', '年底N薪']",50-150人,本科,B轮,产品/需求/项目类,"移动互联网,社交网络",全职,39.940498,116.436939,"六险一金,弹性不打卡,免费午餐,季度旅游",3569199,"['游戏', '社交', '文化娱乐', '大数据', '数据挖掘']",数据分析师,15k-30k,3-5年
北京,腾讯科技(深圳)有限公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,硕士,上市公司,产品/需求/项目类,"移动互联网 ,游戏",全职,39.977178,116.336997,腾讯福利待遇 海量数据,3095147,"['媒体', '商业', '大数据', 'SPSS']",高级数据分析师,15k-30k,3-5年
北京,上海一起作业信息科技有限公司,"['节日礼物', '岗位晋升', '扁平管理', '领导好']",500-2000人,本科,D轮及以上,开发/测试/运维类,"移动互联网,教育",全职,39.99426,115.99339,"团队好,福利棒",3800142,"['数据挖掘', '大数据', 'SPSS']",资深数据分析师,10k-20k,3-5年
广州,中邮消费金融有限公司,"['专项奖金', '年终分红', '带薪年假', '定期体检']",500-2000人,本科,未融资,开发/测试/运维类,"移动互联网,金融",全职,23.148924,113.327956,"互联网金融,敏捷开发,项目奖,挑战性工作",4077294,"['资深', '高级', '数据管理']",中级BI数据分析开发,13k-23k,不限
成都,广东鸿特普惠信息服务有限公司,"['年底双薪', '带薪年假', '美女多', '五险一金']",2000人以上,本科,D轮及以上,金融类,金融,全职,30.568751,104.063392,"五险一金,周末双休,带薪年假,节假日福利",3603248,"['支付', '行业研究', '策略设计', '策略']",数据分析专员（风控）,4k-7k,1-3年
杭州,支付宝(杭州)信息技术有限公司,"['年底双薪', '带薪年假', '股票期权', '绩效奖金']",2000人以上,不限,B轮,开发/测试/运维类,"金融,移动互联网",全职,30.272627,120.125788,"股票期权,技术挑战,福利齐全,职位机遇",3730818,"['数据挖掘', 'ETL', '数据仓库', '建模', '数据治理']",蚂蚁金服-数据分析师/专家-网商银行,20k-40k,不限
北京,京东金融,"['供应链金融', '消费金融', '众筹业务', '支付业务']",2000人以上,本科,上市公司,开发/测试/运维类,金融,全职,39.787557,116.560575,大平台；晋升机会多；免费班车；内购福利。,3791765,"['支付', '数据挖掘', '用户研究']",数据分析与建模师,15k-30k,不限
北京,光合新知（北京）科技有限公司,"['产品领先行业', '关注学习本源', '明星跨界团队', '股票期权']",150-500人,大专,B轮,产品/需求/项目类,"移动互联网,教育",全职,39.991999,116.500139,"年假15天,免费早午餐,五险一金,免费班车",3451132,"['高级', '运营', '产品经理', '大数据']",BI 数据分析,10k-20k,1-3年
上海,上海倾听信息技术有限公司,"['明星直播', '男女1:1', '带薪年假', '扁平管理']",150-500人,不限,D轮及以上,开发/测试/运维类,移动互联网,全职,31.2181055,121.53128155,12天带薪年假，团队氛围佳，车补，午餐补,3565966,['数据挖掘'],数据分析工程师,18k-30k,1-3年
广州,广州酷旅旅行社有限公司,"['牛人云集', '技能培训', '豪华下午茶', '酒店预订']",500-2000人,本科,D轮及以上,产品/需求/项目类,"电子商务,生活服务",全职,23.12407,113.373772,成长空间大，公司氛围好，团队关系简单,3987530,"['业务运营', '项目管理', '风控', '审核']",数据分析专员（商业分析方向）,4k-8k,1-3年
天津,天津嘉业智德网络科技有限公司,"['带薪年假', '绩效奖金', '年度旅游', '岗位晋升']",500-2000人,本科,未融资,运营/编辑/客服,"数据服务,其他",全职,39.110442,117.180975,发展空间大,2707748,[],数据分析师,5k-10k,1-3年
北京,蓝港在线（北京）科技有限公司,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",500-2000人,本科,上市公司,产品/需求/项目类,游戏,全职,40.01206006,116.47493,公司提供免费住宿和三餐，实习生有导师带领,4097854,"['游戏', '广告营销', '数据挖掘']",数据分析师,2k-4k,不限
深圳,深圳盒子信息科技有限公司,"['技能培训', '俱乐部', '婚育礼金', '下午茶健身房']",500-2000人,本科,C轮,开发/测试/运维类,"移动互联网,金融",全职,22.523714,113.940802,"大牛聚集地,健身房,工作环境好",3655349,"['支付', '数据挖掘', 'SPSS']",数据分析师,15k-25k,5-10年
北京,北京永洪商智科技有限公司,"['期权股激励', '领导好', '五险一金', '巨大成长空间']",150-500人,本科,C轮,产品/需求/项目类,企业服务、数据服务,全职,39.914005,116.452067,"大数据,C轮,BI,年终奖",4008617,"['金融', '资深', '高级', '大数据', 'BI']",数据分析师,20k-25k,5-10年
上海,拉扎斯网络科技（上海）有限公司,"['节日礼物', '绩效奖金', '年度旅游', '岗位晋升']",2000人以上,本科,D轮及以上,产品/需求/项目类,移动互联网,全职,31.23297317,121.38145144,团队给力，领导nice,3472798,"['资深', '大数据']",数据分析师,20k-30k,1-3年
